t_accept,t_incorrect,t2_safe,n,n_acceptable,n_uncertain,n_incorrect,coverage,abstention_rate,acceptable_precision,incorrect_precision,incorrect_recall,selective_error,false_acceptance_among_accepted,false_rejection_among_flagged,accepted_correct,accepted_incorrect,flagged_incorrect,flagged_correct,speakers_any,speakers_5plus,speakers_with_incorrect,speakers_with_acceptable
0.47891,0.53286,False,1424,692,468,264,0.6713483146067416,0.32865168539325845,0.880057803468208,0.3068181818181818,0.3360995850622407,0.27824267782426776,0.1199421965317919,0.6931818181818182,609,83,81,183,32,32,32,32
0.47891,0.53286,True,1424,692,538,194,0.6221910112359551,0.37780898876404495,0.880057803468208,0.32989690721649484,0.26556016597510373,0.24040632054176073,0.1199421965317919,0.6701030927835051,609,83,64,130,32,32,32,32
0.47891,0.53953,False,1424,692,490,242,0.6558988764044944,0.3441011235955056,0.880057803468208,0.30991735537190085,0.3112033195020747,0.2676659528907923,0.1199421965317919,0.6900826446280992,609,83,75,167,32,32,32,32
0.47891,0.53953,True,1424,692,555,177,0.610252808988764,0.38974719101123595,0.880057803468208,0.3389830508474576,0.24896265560165975,0.23014959723820483,0.1199421965317919,0.6610169491525424,609,83,60,117,32,32,32,32
0.47891,0.54572,False,1424,692,511,221,0.6411516853932584,0.35884831460674155,0.880057803468208,0.3212669683257919,0.2946058091286307,0.2552026286966046,0.1199421965317919,0.6787330316742082,609,83,71,150,32,32,32,32
0.47891,0.54572,True,1424,692,569,163,0.6004213483146067,0.39957865168539325,0.880057803468208,0.3558282208588957,0.24066390041493776,0.2198830409356725,0.1199421965317919,0.6441717791411042,609,83,58,105,32,32,32,32
0.47891,0.54999,False,1424,692,529,203,0.6285112359550562,0.3714887640449438,0.880057803468208,0.3399014778325123,0.2863070539419087,0.2424581005586592,0.1199421965317919,0.6600985221674877,609,83,69,134,32,32,31,32
0.47891,0.54999,True,1424,692,585,147,0.589185393258427,0.41081460674157305,0.880057803468208,0.38095238095238093,0.23236514522821577,0.20738974970202623,0.1199421965317919,0.6190476190476191,609,83,56,91,32,32,30,32
0.47891,0.55464,False,1424,692,551,181,0.613061797752809,0.386938202247191,0.880057803468208,0.3370165745856354,0.25311203319502074,0.2325315005727377,0.1199421965317919,0.6629834254143646,609,83,61,120,32,32,30,32
0.47891,0.55464,True,1424,692,601,131,0.5779494382022472,0.4220505617977528,0.880057803468208,0.3893129770992366,0.21161825726141079,0.19805589307411908,0.1199421965317919,0.6106870229007634,609,83,51,80,32,32,29,32
0.47891,0.56209,False,1424,692,572,160,0.598314606741573,0.40168539325842695,0.880057803468208,0.35,0.23236514522821577,0.21948356807511737,0.1199421965317919,0.65,609,83,56,104,32,32,29,32
