method,K,speaker_id,n_eval,n_incorrect,within_roc,median_score,prevalence
S2,5,02034,52,1,0.9019607843137255,-0.39126943083990257,0.019230769230769232
S2,5,02035,52,9,0.7131782945736435,0.0467689311792744,0.17307692307692307
S2,5,02038,52,7,0.7904761904761904,-0.17038993878004774,0.1346153846153846
S2,5,02039,52,34,0.6078431372549019,-0.007437975629277303,0.6538461538461539
S2,5,02041,52,6,0.6630434782608695,0.5644243168320311,0.11538461538461539
S2,5,02042,52,7,0.5206349206349207,-1.6881496164397747,0.1346153846153846
S2,5,02043,52,11,0.6075388026607539,-0.08425443543845623,0.21153846153846154
S2,5,02044,52,10,0.6071428571428571,-0.4387028367411385,0.19230769230769232
S2,5,02045,52,14,0.48120300751879697,-0.8593359208237348,0.2692307692307692
S2,5,02046,52,11,0.4700665188470067,-0.03594608521303047,0.21153846153846154
S2,10,02024,52,0,nan,-1.0646217096464803,0.0
S2,10,02028,52,12,0.51875,0.03143288700788883,0.23076923076923078
S2,10,02029,52,0,nan,-0.5922603789285957,0.0
S2,10,02030,52,10,0.5238095238095238,-0.6586460991985787,0.19230769230769232
S2,10,02031,52,6,0.5869565217391305,0.3148411045556202,0.11538461538461539
S2,10,02033,52,0,nan,-0.3935015903708546,0.0
S2,10,02034,52,1,0.9019607843137255,-0.44518207368801854,0.019230769230769232
S2,10,02035,52,9,0.7131782945736435,-0.03718595993513925,0.17307692307692307
S2,10,02038,52,7,0.7904761904761904,-0.2282551976319207,0.1346153846153846
S2,10,02039,52,34,0.6078431372549019,-0.007409761120354708,0.6538461538461539
S2,10,02041,52,6,0.6630434782608695,-0.3453646145499234,0.11538461538461539
S2,10,02042,52,7,0.5206349206349207,-2.61566487741206,0.1346153846153846
S2,10,02043,52,11,0.6075388026607539,-0.05027922960144788,0.21153846153846154
S2,10,02044,52,10,0.6071428571428571,-0.2473665184523429,0.19230769230769232
S2,10,02045,52,14,0.48120300751879697,-1.2671423180176693,0.2692307692307692
S2,10,02046,52,11,0.4700665188470067,-0.023405147920882476,0.21153846153846154
S2,20,02024,52,0,nan,-0.3886174913094503,0.0
S2,20,02028,52,12,0.51875,-0.25110134889569036,0.23076923076923078
S2,20,02029,52,0,nan,-0.4206541626401148,0.0
S2,20,02030,52,10,0.5238095238095238,-0.45229786553799756,0.19230769230769232
S2,20,02031,52,6,0.5869565217391305,0.2666096677970323,0.11538461538461539
S2,20,02033,52,0,nan,-0.26909219018694375,0.0
S2,20,02034,52,1,0.9019607843137255,-0.08751818484846521,0.019230769230769232
S2,20,02035,52,9,0.7131782945736435,-0.050308079068756305,0.17307692307692307
S2,20,02038,52,7,0.7904761904761904,-0.14274477816835557,0.1346153846153846
S2,20,02039,52,34,0.6078431372549019,0.40253448921104784,0.6538461538461539
S2,20,02041,52,6,0.6630434782608695,-0.7805349064675704,0.11538461538461539
S2,20,02042,52,7,0.5206349206349207,-0.5591106163706852,0.1346153846153846
S2,20,02043,52,11,0.6075388026607539,-0.009262947439474157,0.21153846153846154
S2,20,02044,52,10,0.6071428571428571,-0.3501612657315081,0.19230769230769232
S2,20,02045,52,14,0.48120300751879697,-0.3535424727758816,0.2692307692307692
S2,20,02046,52,11,0.4700665188470067,-0.1720243389756354,0.21153846153846154
S3,5,02024,52,0,nan,-0.06360583716660415,0.0
S3,5,02028,52,12,0.51875,0.24098064567629857,0.23076923076923078
S3,5,02029,52,0,nan,-0.2033763943565242,0.0
S3,5,02030,52,10,0.5238095238095238,-0.10068973071582717,0.19230769230769232
S3,5,02031,52,6,0.5869565217391305,0.1272572916683241,0.11538461538461539
S3,5,02033,52,0,nan,-0.06184995346524688,0.0
S3,5,02034,52,1,0.9019607843137255,-0.1705659231896267,0.019230769230769232
S3,5,02035,52,9,0.7131782945736435,0.032368145578516014,0.17307692307692307
S3,5,02038,52,7,0.7904761904761904,-0.061209346668095924,0.1346153846153846
S3,5,02039,52,34,0.6078431372549019,-0.0039456019216685435,0.6538461538461539
S3,5,02041,52,6,0.6630434782608695,0.24290547060453305,0.11538461538461539
S3,5,02042,52,7,0.5206349206349207,-0.40479741048757983,0.1346153846153846
