t_pass,enabled_tones,n,n_pass,n_retry,coverage,pass_precision,true_pass,false_pass,false_pass_rate,incorrect_tokens_passed,speakers_any_pass,speakers_5plus_pass,speakers_zero_pass,T1_pass,T1_precision,T1_false_pass,T2_pass,T2_precision,T2_false_pass,T3_pass,T3_precision,T3_false_pass,T4_pass,T4_precision,T4_false_pass
0.46757,1234,1424,543,881,0.3813202247191011,0.8876611418047882,482,61,0.11233885819521179,61,32,27,0,156,0.8525641025641025,23,115,0.9043478260869565,11,64,0.890625,7,208,0.9038461538461539,20
0.46902,1234,1424,554,870,0.3890449438202247,0.8880866425992779,492,62,0.11191335740072202,62,32,28,0,162,0.8580246913580247,23,117,0.8974358974358975,12,65,0.8923076923076924,7,210,0.9047619047619048,20
0.46986,1234,1424,566,858,0.39747191011235955,0.8886925795053003,503,63,0.11130742049469965,63,32,28,0,167,0.8622754491017964,23,119,0.8907563025210085,13,65,0.8923076923076924,7,215,0.9069767441860465,20
0.47065,1234,1424,573,851,0.4023876404494382,0.8883071553228621,509,64,0.11169284467713787,64,32,28,0,170,0.8647058823529412,23,120,0.8916666666666667,13,66,0.8787878787878788,8,217,0.9078341013824884,20
0.47125,1234,1424,584,840,0.4101123595505618,0.886986301369863,518,66,0.11301369863013698,66,32,28,0,178,0.8651685393258427,24,121,0.8925619834710744,13,66,0.8787878787878788,8,219,0.9041095890410958,21
0.47216,1234,1424,595,829,0.4178370786516854,0.8890756302521008,529,66,0.11092436974789915,66,32,28,0,187,0.8716577540106952,24,122,0.8934426229508197,13,66,0.8787878787878788,8,220,0.9045454545454545,21
0.47282,1234,1424,606,818,0.425561797752809,0.8861386138613861,537,69,0.11386138613861387,69,32,28,0,196,0.8622448979591837,27,123,0.8943089430894309,13,66,0.8787878787878788,8,221,0.9049773755656109,21
0.47379,1234,1424,618,806,0.4339887640449438,0.8867313915857605,548,70,0.11326860841423948,70,32,29,0,202,0.8613861386138614,28,124,0.8951612903225806,13,67,0.8805970149253731,8,225,0.9066666666666666,21
0.47484,1234,1424,629,795,0.4417134831460674,0.8871224165341812,558,71,0.11287758346581876,71,32,29,0,208,0.8605769230769231,29,125,0.896,13,68,0.8823529411764706,8,228,0.9078947368421053,21
0.47524,1234,1424,635,789,0.44592696629213485,0.8881889763779528,564,71,0.11181102362204724,71,32,29,0,211,0.8625592417061612,29,126,0.8968253968253969,13,69,0.8840579710144928,8,229,0.9082969432314411,21
0.47571,1234,1424,642,782,0.4508426966292135,0.8862928348909658,569,73,0.11370716510903427,73,32,29,0,214,0.8644859813084113,29,127,0.8976377952755905,13,70,0.8857142857142857,8,231,0.9004329004329005,23
0.4763,1234,1424,653,771,0.4585674157303371,0.886676875957121,579,74,0.11332312404287902,74,32,29,0,223,0.8654708520179372,30,128,0.8984375,13,70,0.8857142857142857,8,232,0.9008620689655172,23
0.47709,1234,1424,664,760,0.46629213483146065,0.8855421686746988,588,76,0.1144578313253012,76,32,30,0,228,0.8596491228070176,32,130,0.9,13,71,0.8873239436619719,8,235,0.902127659574468,23
0.47786,1234,1424,674,750,0.47331460674157305,0.8827893175074184,595,79,0.1172106824925816,79,32,30,0,234,0.8589743589743589,33,133,0.8947368421052632,14,71,0.8873239436619719,8,236,0.8983050847457628,24
0.47821,1234,1424,680,744,0.47752808988764045,0.8808823529411764,599,81,0.11911764705882352,81,32,30,0,236,0.8559322033898306,34,134,0.8880597014925373,15,71,0.8873239436619719,8,239,0.899581589958159,24
0.47888,1234,1424,692,732,0.4859550561797753,0.880057803468208,609,83,0.1199421965317919,83,32,30,0,245,0.8530612244897959,36,134,0.8880597014925373,15,72,0.8888888888888888,8,241,0.9004149377593361,24
0.47954,1234,1424,701,723,0.4922752808988764,0.8801711840228246,617,84,0.11982881597717546,84,32,30,0,247,0.854251012145749,36,138,0.8840579710144928,16,74,0.8918918918918919,8,242,0.9008264462809917,24
0.48052,1234,1424,713,711,0.5007022471910112,0.8821879382889201,629,84,0.11781206171107994,84,32,30,0,253,0.857707509881423,36,139,0.8848920863309353,16,74,0.8918918918918919,8,247,0.902834008097166,24
0.48139,1234,1424,724,700,0.5084269662921348,0.8825966850828729,639,85,0.11740331491712708,85,32,30,0,257,0.8599221789883269,36,143,0.8811188811188811,17,74,0.8918918918918919,8,250,0.904,24
0.48181,1234,1424,732,692,0.5140449438202247,0.8838797814207651,647,85,0.11612021857923498,85,32,30,0,263,0.8631178707224335,36,143,0.8811188811188811,17,75,0.8933333333333333,8,251,0.9043824701195219,24
0.48241,1234,1424,743,681,0.5217696629213483,0.8842530282637954,657,86,0.11574697173620457,86,32,30,0,265,0.8641509433962264,36,147,0.8775510204081632,18,76,0.8947368421052632,8,255,0.9058823529411765,24
0.48321,1234,1424,754,670,0.5294943820224719,0.883289124668435,666,88,0.11671087533156499,88,32,30,0,270,0.8629629629629629,37,150,0.8733333333333333,19,76,0.8947368421052632,8,258,0.9069767441860465,24
0.48441,1234,1424,765,659,0.5372191011235955,0.8797385620915033,673,92,0.12026143790849673,92,32,30,0,274,0.8613138686131386,38,154,0.8636363636363636,21,76,0.8947368421052632,8,261,0.9042145593869731,25
0.48506,1234,1424,777,647,0.5456460674157303,0.8803088803088803,684,93,0.11969111969111969,93,32,30,0,278,0.8633093525179856,38,157,0.8598726114649682,22,76,0.8947368421052632,8,266,0.9060150375939849,25
0.48618,1234,1424,788,636,0.5533707865168539,0.881979695431472,695,93,0.11802030456852793,93,32,31,0,282,0.8652482269503546,38,159,0.8616352201257862,22,76,0.8947368421052632,8,271,0.9077490774907749,25
0.48694,1234,1424,799,625,0.5610955056179775,0.8836045056320401,706,93,0.11639549436795996,93,32,31,0,285,0.8666666666666667,38,162,0.8641975308641975,22,77,0.8961038961038961,8,275,0.9090909090909091,25
0.48842,1234,1424,810,614,0.5688202247191011,0.8839506172839506,716,94,0.11604938271604938,94,32,31,0,292,0.8698630136986302,38,164,0.8597560975609756,23,77,0.8961038961038961,8,277,0.9097472924187726,25
0.48896,1234,1424,816,608,0.5730337078651685,0.8811274509803921,719,97,0.11887254901960784,97,32,31,0,295,0.8677966101694915,39,164,0.8597560975609756,23,79,0.8860759493670886,9,278,0.9064748201438849,26
0.4902,1234,1424,824,600,0.5786516853932584,0.8798543689320388,725,99,0.12014563106796117,99,32,31,0,298,0.8657718120805369,40,166,0.8614457831325302,23,79,0.8860759493670886,9,281,0.9039145907473309,27
0.4924,1234,1424,835,589,0.586376404494382,0.8766467065868263,732,103,0.12335329341317365,103,32,31,0,300,0.8633333333333333,41,171,0.8538011695906432,25,79,0.8860759493670886,9,285,0.9017543859649123,28
0.49359,1234,1424,844,580,0.5926966292134831,0.8744075829383886,738,106,0.12559241706161137,106,32,31,0,301,0.8637873754152824,41,175,0.8514285714285714,26,81,0.8641975308641975,11,287,0.9024390243902439,28
0.4943,1234,1424,854,570,0.5997191011235955,0.8758782201405152,748,106,0.12412177985948478,106,32,31,0,304,0.8651315789473685,41,177,0.8531073446327684,26,83,0.8674698795180723,11,290,0.903448275862069,28
0.49607,1234,1424,865,559,0.6074438202247191,0.8763005780346821,758,107,0.12369942196531791,107,32,31,0,310,0.867741935483871,41,178,0.8539325842696629,26,84,0.8690476190476191,11,293,0.9010238907849829,29
0.49732,1234,1424,876,548,0.6151685393258427,0.8744292237442922,766,110,0.12557077625570776,110,32,31,0,312,0.8685897435897436,41,181,0.850828729281768,27,84,0.8690476190476191,11,299,0.8963210702341137,31
0.49873,1234,1424,887,537,0.6228932584269663,0.8737316798196166,775,112,0.1262683201803833,112,32,32,0,313,0.8690095846645367,41,186,0.8494623655913979,28,84,0.8690476190476191,11,304,0.8947368421052632,32
0.49933,1234,1424,896,528,0.6292134831460674,0.8716517857142857,781,115,0.12834821428571427,115,32,32,0,313,0.8690095846645367,41,187,0.8502673796791443,28,85,0.8588235294117647,12,311,0.8906752411575563,34
0.5008,1234,1424,907,517,0.636938202247191,0.8699007717750827,789,118,0.13009922822491732,118,32,32,0,316,0.8670886075949367,42,190,0.8526315789473684,28,86,0.8488372093023255,13,315,0.8888888888888888,35
0.50286,1234,1424,918,506,0.6446629213483146,0.8703703703703703,799,119,0.12962962962962962,119,32,32,0,317,0.8643533123028391,43,194,0.8556701030927835,28,86,0.8488372093023255,13,321,0.8909657320872274,35
0.50389,1234,1424,929,495,0.6523876404494382,0.868675995694295,807,122,0.13132400430570507,122,32,32,0,321,0.8629283489096573,44,195,0.8512820512820513,29,86,0.8488372093023255,13,327,0.8899082568807339,36
0.50533,1234,1424,941,483,0.660814606741573,0.8682252922422954,817,124,0.13177470775770456,124,32,32,0,322,0.8633540372670807,44,200,0.855,29,87,0.8505747126436781,13,332,0.8855421686746988,38
0.50637,1234,1424,952,472,0.6685393258426966,0.8676470588235294,826,126,0.1323529411764706,126,32,32,0,323,0.8606811145510835,45,203,0.8571428571428571,29,87,0.8505747126436781,13,339,0.8849557522123894,39
0.50776,1234,1424,963,461,0.6762640449438202,0.8660436137071651,834,129,0.13395638629283488,129,32,32,0,325,0.8553846153846154,47,206,0.8592233009708737,29,88,0.8409090909090909,14,344,0.8866279069767442,39
0.5095,1234,1424,974,450,0.6839887640449438,0.8675564681724846,845,129,0.1324435318275154,129,32,32,0,328,0.8567073170731707,47,209,0.861244019138756,29,89,0.8426966292134831,14,348,0.8879310344827587,39
0.5105,1234,1424,979,445,0.6875,0.8682328907048008,850,129,0.1317671092951992,129,32,32,0,329,0.8571428571428571,47,211,0.8625592417061612,29,90,0.8444444444444444,14,349,0.8882521489971347,39
0.51295,1234,1424,990,434,0.6952247191011236,0.8676767676767677,859,131,0.13232323232323231,131,32,32,0,330,0.8545454545454545,48,218,0.8623853211009175,30,91,0.8461538461538461,14,351,0.8888888888888888,39
0.51419,1234,1424,1001,423,0.7029494382022472,0.8651348651348651,866,135,0.13486513486513488,135,32,32,0,331,0.851963746223565,49,220,0.8590909090909091,31,92,0.8369565217391305,15,358,0.888268156424581,40
0.51561,1234,1424,1010,414,0.7092696629213483,0.8633663366336634,872,138,0.13663366336633664,138,32,32,0,332,0.8524096385542169,49,222,0.8558558558558559,32,92,0.8369565217391305,15,364,0.8846153846153846,42
0.51715,1234,1424,1018,406,0.7148876404494382,0.8634577603143418,879,139,0.13654223968565815,139,32,32,0,334,0.8532934131736527,49,223,0.8565022421524664,32,93,0.8387096774193549,15,368,0.8831521739130435,43
0.51809,1234,1424,1029,395,0.7226123595505618,0.8620019436345967,887,142,0.1379980563654033,142,32,32,0,334,0.8532934131736527,49,223,0.8565022421524664,32,96,0.8333333333333334,16,376,0.8803191489361702,45
0.51927,1234,1424,1041,383,0.7310393258426966,0.8607108549471661,896,145,0.13928914505283382,145,32,32,0,336,0.8482142857142857,51,224,0.8571428571428571,32,97,0.8350515463917526,16,384,0.8802083333333334,46
0.52218,1234,1424,1052,372,0.7387640449438202,0.8621673003802282,907,145,0.13783269961977188,145,32,32,0,338,0.849112426035503,51,226,0.8584070796460177,32,99,0.8383838383838383,16,389,0.8817480719794345,46
0.52499,1234,1424,1062,362,0.7457865168539326,0.8615819209039548,915,147,0.1384180790960452,147,32,32,0,338,0.849112426035503,51,226,0.8584070796460177,32,100,0.84,16,398,0.8793969849246231,48
0.52635,1234,1424,1069,355,0.7507022471910112,0.8615528531337698,921,148,0.1384471468662301,148,32,32,0,339,0.8466076696165191,52,228,0.8596491228070176,32,102,0.8431372549019608,16,400,0.88,48
0.52838,1234,1424,1080,344,0.7584269662921348,0.8592592592592593,928,152,0.14074074074074075,152,32,32,0,340,0.8441176470588235,53,230,0.8608695652173913,32,104,0.8461538461538461,16,406,0.874384236453202,51
0.53187,1234,1424,1091,333,0.7661516853932584,0.8597616865261228,938,153,0.14023831347387716,153,32,32,0,341,0.844574780058651,53,232,0.8620689655172413,32,105,0.8476190476190476,16,413,0.87409200968523,52
0.53461,1234,1424,1102,322,0.773876404494382,0.8575317604355717,945,157,0.1424682395644283,157,32,32,0,341,0.844574780058651,53,234,0.8589743589743589,33,110,0.8363636363636363,18,417,0.8729016786570744,53
