model,pooling,class_weight,C,n_features,pr_auc_incorrect,roc_auc,balanced_accuracy,macro_f1,incorrect_precision,incorrect_recall,incorrect_f1,accuracy,false_rejection_rate,false_acceptance_rate,threshold
MODEL_C_fusion,mean,None,0.1,782,0.1773278029540109,0.5041198501872659,0.5361593462717058,0.33666038009574933,0.184,0.8363636363636363,0.3016393442622951,0.3385093167701863,0.7640449438202247,0.1636363636363637,0.0561
MODEL_C_fusion,mean,None,1.0,782,0.1763202967761634,0.4998978549540347,0.5489955737146748,0.34578173374613,0.18875502008032127,0.8545454545454545,0.3092105263157895,0.34782608695652173,0.7565543071161048,0.1454545454545455,0.0298
MODEL_C_fusion,mean,None,10.0,782,0.19475961790416896,0.51699012597889,0.5615594143684031,0.34365067864560694,0.19291338582677164,0.8909090909090909,0.31715210355987056,0.3447204968944099,0.7677902621722846,0.10909090909090913,0.0051
MODEL_C_fusion,mean,balanced,0.01,782,0.18075143869625948,0.49819543752128026,0.5168539325842697,0.18206521739130435,0.1757188498402556,1.0,0.29891304347826086,0.19875776397515527,0.9662921348314607,0.0,0.1399
MODEL_C_fusion,mean,balanced,0.1,782,0.1671073513601386,0.5011235955056179,0.5326864147088867,0.34192148620245444,0.18292682926829268,0.8181818181818182,0.29900332225913623,0.3447204968944099,0.7528089887640449,0.18181818181818177,0.1791
MODEL_C_fusion,mean,balanced,1.0,782,0.17271772780491199,0.4941096356826693,0.5420497105890365,0.35605001553277416,0.18672199170124482,0.8181818181818182,0.30405405405405406,0.36024844720496896,0.7340823970037453,0.18181818181818177,0.0795
MODEL_C_fusion,mean,balanced,10.0,782,0.19229952055110966,0.5035750766087845,0.5417432754511406,0.2608312427961218,0.1840277777777778,0.9636363636363636,0.30903790087463556,0.2639751552795031,0.8801498127340824,0.036363636363636376,0.0012
MODEL_C_fusion,temporal3,None,0.01,2318,0.1902045256853464,0.49989785495403466,0.5168539325842697,0.18206521739130435,0.1757188498402556,1.0,0.29891304347826086,0.19875776397515527,0.9662921348314607,0.0,0.0281
MODEL_C_fusion,temporal3,None,0.1,2318,0.1864306239035487,0.46598569969356485,0.5112359550561798,0.17022600041467967,0.17405063291139242,1.0,0.29649595687331537,0.18944099378881987,0.9775280898876404,0.0,0.0027
MODEL_C_fusion,temporal3,None,1.0,2318,0.15356797495629754,0.43425263874702075,0.5,0.14588859416445624,0.17080745341614906,1.0,0.2917771883289125,0.17080745341614906,1.0,0.0,0.0
MODEL_C_fusion,temporal3,None,10.0,2318,0.14760429529353017,0.42832822608103505,0.5,0.14588859416445624,0.17080745341614906,1.0,0.2917771883289125,0.17080745341614906,1.0,0.0,0.0
MODEL_C_fusion,temporal3,balanced,0.01,2318,0.19142876831557193,0.4934286687095676,0.526796050391556,0.32203979138497196,0.1803921568627451,0.8363636363636363,0.2967741935483871,0.32298136645962733,0.7827715355805244,0.1636363636363637,0.2097
MODEL_C_fusion,temporal3,balanced,0.1,2318,0.1793744625119877,0.4650323459312224,0.5093632958801498,0.16623181530676787,0.17350157728706625,1.0,0.2956989247311828,0.18633540372670807,0.9812734082397003,0.0,0.0037
MODEL_C_fusion,temporal3,balanced,1.0,2318,0.15132881946971438,0.4293496765406878,0.5,0.14588859416445624,0.17080745341614906,1.0,0.2917771883289125,0.17080745341614906,1.0,0.0,0.0
MODEL_C_fusion,temporal3,balanced,10.0,2318,0.14803094040524561,0.4298944501191692,0.5,0.14588859416445624,0.17080745341614906,1.0,0.2917771883289125,0.17080745341614906,1.0,0.0,0.0
